Trialid,expTime,gambleDelay,gambleRT,outcomeRT,response,standardGamble,trialNumber,uniqueid
5,,5823.015906,0,420,success,5,69,243
31,,3090.242476,677,0,gamble,1,70,243
36,,1046.484126,0,422,success,6,71,243
6,,3049.593019,0,472,success,6,72,243
2,,2875.929674,0,465,success,2,73,243
33,,1140.647451,726,0,gamble,3,74,243
35,,3064.343894,608,0,gamble,5,75,243
33,,4807.359639,587,0,gamble,3,76,243
23,,5719.525266,0,412,success,3,77,243
36,,6403.495116,0,426,success,6,78,243
34,,5925.79944,608,0,gamble,4,79,243
3,,5753.924306,0,410,success,3,80,243
3,,1018.844678,0,403,success,3,81,243
2,,5685.099698,0,388,success,2,82,243
1,,5883.986759,597,0,gamble,1,83,243
22,,6102.96081,0,329,success,2,84,243
21,,3019.755642,0,435,success,1,85,243
21,,5698.910564,0,420,success,1,86,243
25,,4827.924508,0,399,success,5,87,243
6,,1089.36306,0,438,success,6,88,243
35,,949.5068756,0,360,success,5,89,243
5,,1000.244113,0,396,success,5,90,243
21,,6139.399759,0,427,success,1,91,243
32,,965.8502465,643,0,gamble,2,92,243
35,,6326.177949,0,421,success,5,93,243
23,,2955.442171,0,454,success,3,94,243
32,,3065.875661,616,0,gamble,2,95,243
6,,6281.716166,0,316,success,6,96,243
2,,0,0,414,success,2,97,243
2,,4016.241017,0,455,success,2,98,243
26,1479239,6203.701731,0,287,success,6,99,243
24,,5737.46084,0,0,earlyFail,4,1,244
23,,5940.164,0,532,success,3,2,244
31,,4715.398869,623,0,gamble,1,3,244
26,,5001.597535,0,406,success,6,4,244
35,,5791.94535,722,0,gamble,5,5,244
31,,6227.391547,692,0,gamble,1,6,244
35,,2964.496692,0,507,success,5,7,244
36,,2878.344475,983,0,gamble,6,8,244
6,,3069.085451,0,471,success,6,9,244
36,,5821.837762,0,620,success,6,10,244
5,,5688.997218,0,553,success,5,11,244
26,,4522.822848,0,545,success,6,12,244
1,,5731.021456,901,0,gamble,1,13,244
25,,4643.046285,0,494,success,5,14,244
24,,2983.614927,0,627,success,4,15,244
22,,1044.641011,0,0,fail,2,16,244
24,,967.4876229,0,413,success,4,17,244
21,,2958.071245,0,405,success,1,18,244
34,,3109.621185,571,0,gamble,4,19,244
31,,1061.624595,0,498,success,1,20,244
21,,6144.099834,0,580,success,1,21,244
23,,1056.429736,0,466,success,3,22,244
5,,6346.227363,0,720,success,5,23,244
34,,1060.10807,0,694,success,4,24,244
23,,6346.598593,0,474,success,3,25,244
33,,5181.391975,542,0,gamble,3,26,244
36,,933.9306779,622,0,gamble,6,27,244
6,,6122.198261,840,0,gamble,6,28,244
31,,2970.643507,0,0,fail,1,29,244
2,,5719.191352,0,503,success,2,30,244
4,,6206.77688,917,0,gamble,4,31,244
1,,0,0,548,success,1,32,244
5,,0,0,468,success,5,33,244
2,,5821.254233,0,570,success,2,34,244
26,,3103.631305,0,503,success,6,35,244
86,,1998.464419,0,453,success,6,36,244
4,,5836.279201,0,561,success,4,37,244
1,,6231.075059,0,720,success,1,38,244
32,,5218.092171,564,0,gamble,2,39,244
34,,5738.459932,444,0,gamble,4,40,244
4,,5641.513833,0,0,fail,4,41,244
4,,2930.730289,0,522,success,4,42,244
5,,2869.511602,516,0,gamble,5,43,244
33,,869.3794593,751,0,gamble,3,44,244
5,,1094.192509,0,0,earlyFail,5,45,244
34,,6132.781006,379,0,gamble,4,46,244
32,,2884.992593,575,0,gamble,2,47,244
33,,5040.057849,554,0,gamble,3,48,244
3,,6241.195959,0,501,success,3,49,244
34,,5811.250414,534,0,gamble,4,50,244
2,,6301.824706,0,440,success,2,51,244
