,BonusAmount,Trialid,action,design,difficulty,engagement,expTime,gambleDelay,gambleRT,gender,ignoreRT,indexOf,interest,lateResponse,length,outcomeRT,phase,response,standardGamble,status,template,templates,trialNumber,understand,uniqueid,viewTime
132,,2.0,,,,,,0.0,0.0,,0.0,,,0.0,,397.0,,success,2,,,,71.0,,A1YBZWXXW358IF:382M9COHEHF6AK633YYF4DJKWOYUEI,
133,,23.0,,,,,,5982.433919598345,0.0,,675.0,,,0.0,,459.0,,success,3,,,,72.0,,A1YBZWXXW358IF:382M9COHEHF6AK633YYF4DJKWOYUEI,
134,,75.0,,,,,,2091.17150286188,729.0,,0.0,,,0.0,,0.0,,gamble,5,,,,73.0,,A1YBZWXXW358IF:382M9COHEHF6AK633YYF4DJKWOYUEI,
135,,6.0,,,,,,6010.590524133589,556.0,,0.0,,,0.0,,0.0,,gamble,6,,,,74.0,,A1YBZWXXW358IF:382M9COHEHF6AK633YYF4DJKWOYUEI,
136,,21.0,,,,,,1954.1006346356112,0.0,,726.0,,,0.0,,408.0,,success,1,,,,75.0,,A1YBZWXXW358IF:382M9COHEHF6AK633YYF4DJKWOYUEI,
137,,6.0,,,,,,2021.5770903804487,911.0,,0.0,,,0.0,,0.0,,gamble,6,,,,76.0,,A1YBZWXXW358IF:382M9COHEHF6AK633YYF4DJKWOYUEI,
138,,21.0,,,,,,6112.224965697532,0.0,,1020.0,,,0.0,,108.0,,success,1,,,,77.0,,A1YBZWXXW358IF:382M9COHEHF6AK633YYF4DJKWOYUEI,
139,,34.0,,,,,,2076.9011059235595,735.0,,0.0,,,0.0,,0.0,,gamble,4,,,,78.0,,A1YBZWXXW358IF:382M9COHEHF6AK633YYF4DJKWOYUEI,
140,,26.0,,,,,,5964.100665823622,0.0,,660.0,,,0.0,,331.0,,success,6,,,,79.0,,A1YBZWXXW358IF:382M9COHEHF6AK633YYF4DJKWOYUEI,
141,,5.0,,,,,,4004.924818952973,694.0,,0.0,,,0.0,,0.0,,gamble,5,,,,80.0,,A1YBZWXXW358IF:382M9COHEHF6AK633YYF4DJKWOYUEI,
142,,22.0,,,,,,5939.991527238396,0.0,,559.0,,,0.0,,257.0,,success,2,,,,81.0,,A1YBZWXXW358IF:382M9COHEHF6AK633YYF4DJKWOYUEI,
143,,35.0,,,,,,5996.531338539237,541.0,,0.0,,,0.0,,0.0,,gamble,5,,,,82.0,,A1YBZWXXW358IF:382M9COHEHF6AK633YYF4DJKWOYUEI,
144,,26.0,,,,,,6092.496578582378,0.0,,592.0,,,0.0,,425.0,,success,6,,,,83.0,,A1YBZWXXW358IF:382M9COHEHF6AK633YYF4DJKWOYUEI,
