,BonusAmount,Trialid,action,design,difficulty,engagement,expTime,gambleDelay,gambleRT,gender,ignoreRT,indexOf,interest,length,outcomeRT,phase,response,standardGamble,status,template,templates,trialNumber,uniqueid,viewTime
110,,75,,,,,,6.000607963,2730,,0,,,,0,,gamble,5,,,,15,ATCU3JC12ZH0N:3EICBYG644WIZ6BVV8O67NA6OPKJCV,
111,,35,,,,,,6.328378698,0,,1913,,,,314,,success,5,,,,16,ATCU3JC12ZH0N:3EICBYG644WIZ6BVV8O67NA6OPKJCV,
112,,35,,,,,,2.066147001,0,,11890,,,,552,,success,5,,,,17,ATCU3JC12ZH0N:3EICBYG644WIZ6BVV8O67NA6OPKJCV,
113,,23,,,,,,3.994480476,0,,1998,,,,388,,success,3,,,,18,ATCU3JC12ZH0N:3EICBYG644WIZ6BVV8O67NA6OPKJCV,
114,,21,,,,,,3.91720822,0,,1504,,,,562,,success,1,,,,19,ATCU3JC12ZH0N:3EICBYG644WIZ6BVV8O67NA6OPKJCV,
115,,6,,,,,,3.855977379,0,,1894,,,,399,,success,6,,,,20,ATCU3JC12ZH0N:3EICBYG644WIZ6BVV8O67NA6OPKJCV,
116,,1,,,,,,0,0,,1894,,,,349,,success,1,,,,21,ATCU3JC12ZH0N:3EICBYG644WIZ6BVV8O67NA6OPKJCV,
117,,2,,,,,,2.064544705,0,,1527,,,,361,,success,2,,,,22,ATCU3JC12ZH0N:3EICBYG644WIZ6BVV8O67NA6OPKJCV,
118,,26,,,,,,6.340091538,0,,1823,,,,305,,success,6,,,,23,ATCU3JC12ZH0N:3EICBYG644WIZ6BVV8O67NA6OPKJCV,
119,,35,,,,,,3.826086654,0,,1428,,,,327,,success,5,,,,24,ATCU3JC12ZH0N:3EICBYG644WIZ6BVV8O67NA6OPKJCV,
120,,75,,,,,,1.886759171,3164,,0,,,,0,,gamble,5,,,,25,ATCU3JC12ZH0N:3EICBYG644WIZ6BVV8O67NA6OPKJCV,
121,,86,,,,,,6.036788224,0,,1686,,,,425,,success,6,,,,26,ATCU3JC12ZH0N:3EICBYG644WIZ6BVV8O67NA6OPKJCV,
122,,23,,,,,,2.041107674,0,,1760,,,,371,,success,3,,,,27,ATCU3JC12ZH0N:3EICBYG644WIZ6BVV8O67NA6OPKJCV,
123,,35,,,,,,1.843792152,0,,1370,,,,395,,success,5,,,,28,ATCU3JC12ZH0N:3EICBYG644WIZ6BVV8O67NA6OPKJCV,
124,,23,,,,,,6.207688665,0,,1579,,,,464,,success,3,,,,29,ATCU3JC12ZH0N:3EICBYG644WIZ6BVV8O67NA6OPKJCV,
125,,33,,,,,,3.959686382,0,,1377,,,,403,,success,3,,,,30,ATCU3JC12ZH0N:3EICBYG644WIZ6BVV8O67NA6OPKJCV,
126,,3,,,,,,6.435785209,0,,1624,,,,381,,success,3,,,,31,ATCU3JC12ZH0N:3EICBYG644WIZ6BVV8O67NA6OPKJCV,
127,,26,,,,,,1.960814308,0,,1359,,,,426,,success,6,,,,32,ATCU3JC12ZH0N:3EICBYG644WIZ6BVV8O67NA6OPKJCV,
128,,36,,,,,,2.018929764,0,,7622,,,,401,,success,6,,,,33,ATCU3JC12ZH0N:3EICBYG644WIZ6BVV8O67NA6OPKJCV,
129,,24,,,,,,6.246150752,0,,1330,,,,362,,success,4,,,,34,ATCU3JC12ZH0N:3EICBYG644WIZ6BVV8O67NA6OPKJCV,
130,,2,,,,,,0,0,,1330,,,,401,,success,2,,,,35,ATCU3JC12ZH0N:3EICBYG644WIZ6BVV8O67NA6OPKJCV,
131,,25,,,,,,6.75,0,,1580,,,,414,,success,5,,,,36,ATCU3JC12ZH0N:3EICBYG644WIZ6BVV8O67NA6OPKJCV,
132,,31,,,,,,4.022405507,0,,1402,,,,364,,success,1,,,,37,ATCU3JC12ZH0N:3EICBYG644WIZ6BVV8O67NA6OPKJCV,
