,BonusAmount,Trialid,action,comments,design,difficulty,engagement,expTime,gambleDelay,gambleRT,gender,ignoreRT,indexOf,interest,length,outcomeRT,pbGamble,phase,recordedPresses,recordedTimes,response,standardGamble,status,switchTimes,template,templates,trialNumber,understand,uniqueid,viewTime
6891,,,,no comments,,,,,,,,,,,,,,,,,,,,,,,,,A1HF64TV3AAOK6:3MRNMEIQW56YZO59YPVU785GW04LDT,
6892,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,A1HF64TV3AAOK6:3MRNMEIQW56YZO59YPVU785GW04LDT,
6893,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,A1HF64TV3AAOK6:3MRNMEIQW56YZO59YPVU785GW04LDT,
6894,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,A1HF64TV3AAOK6:3MRNMEIQW56YZO59YPVU785GW04LDT,
6895,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,A1HF64TV3AAOK6:3MRNMEIQW56YZO59YPVU785GW04LDT,
6896,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,A1HF64TV3AAOK6:3MRNMEIQW56YZO59YPVU785GW04LDT,
6897,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,A1HF64TV3AAOK6:3MRNMEIQW56YZO59YPVU785GW04LDT,
6898,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,A1HF64TV3AAOK6:3MRNMEIQW56YZO59YPVU785GW04LDT,
6899,,,Begin,,,,,,,,,,,,,,,INSTRUCTIONS,,,,,,,,"[u'instructions/instruct-1.html', u'instructions/instruct-2.html', u'instructions/instruct-3.html', u'instructions/instruct-ready.html']",,,AYW56U585XL71:3JJVG1YBEBXRI244S6OHVTLJ7PKB5G,
6900,,,NextPage,,,,,,,,,,0,,,,,INSTRUCTIONS,,,,,,,instructions/instruct-1.html,,,,AYW56U585XL71:3JJVG1YBEBXRI244S6OHVTLJ7PKB5G,4933
6901,,,NextPage,,,,,,,,,,1,,,,,INSTRUCTIONS,,,,,,,instructions/instruct-2.html,,,,AYW56U585XL71:3JJVG1YBEBXRI244S6OHVTLJ7PKB5G,13686
6902,,,NextPage,,,,,,,,,,2,,,,,INSTRUCTIONS,,,,,,,instructions/instruct-3.html,,,,AYW56U585XL71:3JJVG1YBEBXRI244S6OHVTLJ7PKB5G,6718
