Trialid,expTime,gambleDelay,gambleRT,outcomeRT,response,standardGamble,trialNumber,uniqueid
34,,6187.535805,0,240,success,4,77,233
31,,6114.900282,0,237,success,1,78,233
33,,3050.058274,0,375,success,3,79,233
35,,6215.608543,0,214,success,5,80,233
34,,5802.834081,0,303,success,4,81,233
22,,6023.693372,0,345,success,2,82,233
6,,6035.820023,0,416,success,6,83,233
6,,5777.319286,0,0,earlyFail,6,84,233
25,,4960.964469,0,218,success,5,85,233
2,,6204.409398,0,358,success,2,86,233
6,,0,0,335,success,6,87,233
32,,953.477454,0,298,success,2,88,233
2,,6047.523474,0,247,success,2,89,233
36,,5674.820273,0,67,success,6,90,233
33,,860.1234473,0,282,success,3,91,233
32,,3165.754684,0,314,success,2,92,233
4,,0,0,277,success,4,93,233
21,,1057.462172,0,278,success,1,94,233
31,,3072.198971,0,269,success,1,95,233
5,,0,0,204,success,5,96,233
33,,4793.033014,0,184,success,3,97,233
2,,5591.377596,799,0,gamble,2,98,233
3,,0,0,116,success,3,99,233
22,,2944.936125,0,256,success,2,100,233
22,,5640.156579,0,182,success,2,101,233
25,,6167.169095,0,173,success,5,102,233
34,,6120.094371,0,254,success,4,103,233
32,,4669.5229,0,184,success,2,104,233
24,1592956,6018.485334,0,111,success,4,105,233
36,,5976.81075,0,352,success,6,1,234
2,,3041.92182,445,0,gamble,2,2,234
33,,5125.918247,586,0,gamble,3,3,234
31,,971.4089571,730,0,gamble,1,4,234
21,,5787.783966,0,445,success,1,5,234
23,,6510.709314,0,478,success,3,6,234
1,,3035.941309,0,412,success,1,7,234
3,,1024.359862,0,0,earlyFail,3,8,234
25,,983.3433961,0,339,success,5,9,234
23,,5722.286619,0,383,success,3,10,234
22,,3081.005763,0,417,success,2,11,234
31,,4920.409655,441,0,gamble,1,12,234
33,,5248.388383,443,0,gamble,3,13,234
34,,6195.836079,557,0,gamble,4,14,234
4,,5855.257865,0,338,success,4,15,234
31,,4684.809955,431,0,gamble,1,16,234
1,,6105.069922,0,319,success,1,17,234
35,,6317.563088,531,0,gamble,5,18,234
22,,6389.120877,0,387,success,2,19,234
21,,5864.64187,0,333,success,1,20,234
5,,5977.508802,0,402,success,5,21,234
24,,3030.442809,0,303,success,4,22,234
2,,4063.272664,0,350,success,2,23,234
33,,3021.980287,446,0,gamble,3,24,234
23,,3005.15019,0,217,success,3,25,234
1,,5676.739933,0,351,success,1,26,234
6,,3028.803709,0,395,success,6,27,234
5,,1082.303752,0,326,success,5,28,234
3,,3021.152055,0,229,success,3,29,234
23,,5930.744757,0,312,success,3,30,234
1,,0,0,355,success,1,31,234
5,,2997.02801,0,327,success,5,32,234
5,,0,0,364,success,5,33,234
26,,1027.661356,0,305,success,6,34,234
26,,6234.028324,0,327,success,6,35,234
75,,1925.368871,0,292,success,5,36,234
32,,1193.19263,0,0,earlyFail,2,37,234
5,,6259.672959,0,322,success,5,38,234
33,,919.0158066,580,0,gamble,3,39,234
25,,4637.382553,0,229,success,5,40,234
34,,2817.564763,453,0,gamble,4,41,234
32,,4802.914801,587,0,gamble,2,42,234
31,,2976.437,494,0,gamble,1,43,234
26,,3091.417092,0,305,success,6,44,234
4,,0,0,339,success,4,45,234
32,,2872.429852,506,0,gamble,2,46,234
3,,6237.96152,0,362,success,3,47,234
25,,6330.17166,0,0,earlyFail,5,48,234
6,,6008.851998,0,344,success,6,49,234
2,,983.3205881,0,377,success,2,50,234
