Trialid,expTime,gambleDelay,gambleRT,outcomeRT,response,standardGamble,trialNumber,uniqueid
32,,4933.251001,0,436,success,2,98,205
5,,838.0312465,0,477,success,5,99,205
33,,5036.256724,0,451,success,3,100,205
22,,5600,0,338,success,2,101,205
34,,5600,0,399,success,4,102,205
3,,0,0,450,success,3,103,205
21,,5600,0,469,success,1,104,205
32,1673236,934.6138853,0,512,success,2,105,205
31,,3077.394705,0,86,success,1,1,206
33,,5269.764583,0,249,success,3,2,206
26,,5006.725905,0,258,success,6,3,206
34,,5600,0,289,success,4,4,206
24,,5600,0,216,success,4,5,206
4,,0,0,264,success,4,6,206
86,,2033.888682,0,216,success,6,7,206
36,,5600,0,251,success,6,8,206
1,,986.014636,0,304,success,1,9,206
24,,5600,0,329,success,4,10,206
4,,5600,0,240,success,4,11,206
26,,1020.223492,0,302,success,6,12,206
24,,2928.395923,0,309,success,4,13,206
2,,0,0,356,success,2,14,206
3,,5600,0,212,success,3,15,206
23,,953.1309112,0,280,success,3,16,206
32,,4880.428545,0,294,success,2,17,206
5,,5600,0,101,success,5,18,206
2,,5600,0,287,success,2,19,206
32,,5148.103751,0,304,success,2,20,206
6,,3116.381967,0,360,success,6,21,206
1,,5600,0,295,success,1,22,206
25,,4873.620554,0,300,success,5,23,206
35,,3135.732214,0,334,success,5,24,206
1,,5600,0,399,success,1,25,206
34,,5600,0,345,success,4,26,206
1,,3045.133507,0,286,success,1,27,206
25,,5600,0,315,success,5,28,206
5,,0,0,434,success,5,29,206
4,,2992.453624,0,283,success,4,30,206
5,,2907.07778,0,354,success,5,31,206
1,,0,0,379,success,1,32,206
6,,5600,0,641,success,6,33,206
6,,0,0,383,success,6,34,206
3,,810.0071462,0,413,success,3,35,206
75,,1913.804008,633,0,gamble,5,36,206
21,,2979.6847,0,280,success,1,37,206
22,,5600,0,339,success,2,38,206
5,,5600,0,316,success,5,39,206
32,,980.8050565,0,360,success,2,40,206
34,,1009.610922,0,338,success,4,41,206
36,,5600,0,370,success,6,42,206
3,,3068.888721,0,356,success,3,43,206
3,,5600,0,354,success,3,44,206
32,,5062.738819,0,384,success,2,45,206
2,,0,0,370,success,2,46,206
5,,5600,0,390,success,5,47,206
31,,4956.257559,0,379,success,1,48,206
35,,5600,0,433,success,5,49,206
2,,5600,0,341,success,2,50,206
36,,5600,0,333,success,6,51,206
25,,932.5975161,0,355,success,5,52,206
6,,5600,0,340,success,6,53,206
