,BonusAmount,Trialid,action,design,difficulty,engagement,expTime,gambleDelay,gambleRT,gender,ignoreRT,indexOf,interest,lateResponse,length,outcomeRT,phase,response,standardGamble,status,template,templates,trialNumber,understand,uniqueid,viewTime
105,,4,,,,,,2226.149398,0,,0,,,0,,0,,fail,4,,,,44,,A1YBZWXXW358IF:382M9COHEHF6AK633YYF4DJKWOYUEI,
106,,5,,,,,,5950.359322,623,,0,,,0,,0,,gamble,5,,,,45,,A1YBZWXXW358IF:382M9COHEHF6AK633YYF4DJKWOYUEI,
107,,33,,,,,,6019.068325,0,,638,,,0,,0,,failOutcome,3,,,,46,,A1YBZWXXW358IF:382M9COHEHF6AK633YYF4DJKWOYUEI,
108,,6,,,,,,4211.023335,713,,0,,,0,,0,,gamble,6,,,,47,,A1YBZWXXW358IF:382M9COHEHF6AK633YYF4DJKWOYUEI,
109,,6,,,,,,0,0,,0,,,0,,283,,success,6,,,,48,,A1YBZWXXW358IF:382M9COHEHF6AK633YYF4DJKWOYUEI,
110,,34,,,,,,4148.284119,633,,0,,,0,,0,,gamble,4,,,,49,,A1YBZWXXW358IF:382M9COHEHF6AK633YYF4DJKWOYUEI,
111,,26,,,,,,2027.971891,0,,0,,,0,,0,,fail,6,,,,50,,A1YBZWXXW358IF:382M9COHEHF6AK633YYF4DJKWOYUEI,
112,,21,,,,,,4112.042778,0,,610,,,0,,251,,success,1,,,,51,,A1YBZWXXW358IF:382M9COHEHF6AK633YYF4DJKWOYUEI,
113,,34,,,,,,3996.366385,536,,0,,,0,,0,,gamble,4,,,,52,,A1YBZWXXW358IF:382M9COHEHF6AK633YYF4DJKWOYUEI,
114,,4,,,,,,5849.147865,0,,569,,,0,,108,,success,4,,,,53,,A1YBZWXXW358IF:382M9COHEHF6AK633YYF4DJKWOYUEI,
115,,3,,,,,,6021.867578,0,,1012,,,0,,227,,success,3,,,,54,,A1YBZWXXW358IF:382M9COHEHF6AK633YYF4DJKWOYUEI,
116,,86,,,,,,5826.811694,0,,672,,,0,,229,,success,6,,,,55,,A1YBZWXXW358IF:382M9COHEHF6AK633YYF4DJKWOYUEI,
117,,5,,,,,,2075.447164,616,,0,,,0,,0,,gamble,5,,,,56,,A1YBZWXXW358IF:382M9COHEHF6AK633YYF4DJKWOYUEI,
118,,3,,,,,,0,0,,0,,,0,,306,,success,3,,,,57,,A1YBZWXXW358IF:382M9COHEHF6AK633YYF4DJKWOYUEI,
119,,31,,,,,,5876.914281,0,,504,,,0,,254,,success,1,,,,58,,A1YBZWXXW358IF:382M9COHEHF6AK633YYF4DJKWOYUEI,
120,,3,,,,,,6033.931593,0,,488,,,0,,242,,success,3,,,,59,,A1YBZWXXW358IF:382M9COHEHF6AK633YYF4DJKWOYUEI,
121,,3,,,,,,3915.248075,0,,494,,,0,,260,,success,3,,,,60,,A1YBZWXXW358IF:382M9COHEHF6AK633YYF4DJKWOYUEI,
122,,34,,,,,,2075.861862,585,,0,,,0,,0,,gamble,4,,,,61,,A1YBZWXXW358IF:382M9COHEHF6AK633YYF4DJKWOYUEI,
123,,24,,,,,,4021.66669,0,,794,,,0,,206,,success,4,,,,62,,A1YBZWXXW358IF:382M9COHEHF6AK633YYF4DJKWOYUEI,
124,,22,,,,,,6106.101972,0,,600,,,0,,283,,success,2,,,,63,,A1YBZWXXW358IF:382M9COHEHF6AK633YYF4DJKWOYUEI,
125,,26,,,,,,4005.935213,0,,485,,,0,,280,,success,6,,,,64,,A1YBZWXXW358IF:382M9COHEHF6AK633YYF4DJKWOYUEI,
126,,25,,,,,,1859.078396,0,,636,,,0,,265,,success,5,,,,65,,A1YBZWXXW358IF:382M9COHEHF6AK633YYF4DJKWOYUEI,
127,,33,,,,,,6025.613445,0,,480,,,0,,289,,success,3,,,,66,,A1YBZWXXW358IF:382M9COHEHF6AK633YYF4DJKWOYUEI,
128,,4,,,,,,6107.35096,0,,565,,,0,,372,,success,4,,,,67,,A1YBZWXXW358IF:382M9COHEHF6AK633YYF4DJKWOYUEI,
129,,24,,,,,,1963.228009,0,,559,,,0,,347,,success,4,,,,68,,A1YBZWXXW358IF:382M9COHEHF6AK633YYF4DJKWOYUEI,
130,,86,,,,,,3921.070251,0,,450,,,0,,398,,success,6,,,,69,,A1YBZWXXW358IF:382M9COHEHF6AK633YYF4DJKWOYUEI,
131,,32,,,,,,6083.330604,0,,544,,,0,,267,,success,2,,,,70,,A1YBZWXXW358IF:382M9COHEHF6AK633YYF4DJKWOYUEI,
132,,2,,,,,,0,0,,0,,,0,,397,,success,2,,,,71,,A1YBZWXXW358IF:382M9COHEHF6AK633YYF4DJKWOYUEI,
133,,23,,,,,,5982.43392,0,,675,,,0,,459,,success,3,,,,72,,A1YBZWXXW358IF:382M9COHEHF6AK633YYF4DJKWOYUEI,
134,,75,,,,,,2091.171503,729,,0,,,0,,0,,gamble,5,,,,73,,A1YBZWXXW358IF:382M9COHEHF6AK633YYF4DJKWOYUEI,
135,,6,,,,,,6010.590524,556,,0,,,0,,0,,gamble,6,,,,74,,A1YBZWXXW358IF:382M9COHEHF6AK633YYF4DJKWOYUEI,
136,,21,,,,,,1954.100635,0,,726,,,0,,408,,success,1,,,,75,,A1YBZWXXW358IF:382M9COHEHF6AK633YYF4DJKWOYUEI,
137,,6,,,,,,2021.57709,911,,0,,,0,,0,,gamble,6,,,,76,,A1YBZWXXW358IF:382M9COHEHF6AK633YYF4DJKWOYUEI,
138,,21,,,,,,6112.224966,0,,1020,,,0,,108,,success,1,,,,77,,A1YBZWXXW358IF:382M9COHEHF6AK633YYF4DJKWOYUEI,
139,,34,,,,,,2076.901106,735,,0,,,0,,0,,gamble,4,,,,78,,A1YBZWXXW358IF:382M9COHEHF6AK633YYF4DJKWOYUEI,
140,,26,,,,,,5964.100666,0,,660,,,0,,331,,success,6,,,,79,,A1YBZWXXW358IF:382M9COHEHF6AK633YYF4DJKWOYUEI,
141,,5,,,,,,4004.924819,694,,0,,,0,,0,,gamble,5,,,,80,,A1YBZWXXW358IF:382M9COHEHF6AK633YYF4DJKWOYUEI,
142,,22,,,,,,5939.991527,0,,559,,,0,,257,,success,2,,,,81,,A1YBZWXXW358IF:382M9COHEHF6AK633YYF4DJKWOYUEI,
143,,35,,,,,,5996.531339,541,,0,,,0,,0,,gamble,5,,,,82,,A1YBZWXXW358IF:382M9COHEHF6AK633YYF4DJKWOYUEI,
144,,26,,,,,,6092.496579,0,,592,,,0,,425,,success,6,,,,83,,A1YBZWXXW358IF:382M9COHEHF6AK633YYF4DJKWOYUEI,
145,,23,,,,,,3987.871704,0,,630,,,0,,271,,success,3,,,,84,,A1YBZWXXW358IF:382M9COHEHF6AK633YYF4DJKWOYUEI,
146,,5,,,,,,2020.6231,694,,0,,,0,,0,,gamble,5,,,,85,,A1YBZWXXW358IF:382M9COHEHF6AK633YYF4DJKWOYUEI,
147,,86,,,,,,2035.485636,0,,573,,,0,,376,,success,6,,,,86,,A1YBZWXXW358IF:382M9COHEHF6AK633YYF4DJKWOYUEI,
148,,33,,,,,,2042.500154,0,,616,,,0,,226,,success,3,,,,87,,A1YBZWXXW358IF:382M9COHEHF6AK633YYF4DJKWOYUEI,
149,,24,,,,,,2075.817093,0,,792,,,0,,321,,success,4,,,,88,,A1YBZWXXW358IF:382M9COHEHF6AK633YYF4DJKWOYUEI,
150,,3,,,,,,4105.489942,0,,834,,,0,,304,,success,3,,,,89,,A1YBZWXXW358IF:382M9COHEHF6AK633YYF4DJKWOYUEI,
151,,1,,,,,,0,0,,0,,,0,,690,,success,1,,,,90,,A1YBZWXXW358IF:382M9COHEHF6AK633YYF4DJKWOYUEI,
152,,31,,,,,,2012.080932,0,,670,,,0,,358,,success,1,,,,91,,A1YBZWXXW358IF:382M9COHEHF6AK633YYF4DJKWOYUEI,
153,,33,,,,,,2075.249205,0,,550,,,0,,346,,success,3,,,,92,,A1YBZWXXW358IF:382M9COHEHF6AK633YYF4DJKWOYUEI,
154,,26,,,,,,4005.457119,0,,750,,,0,,222,,success,6,,,,93,,A1YBZWXXW358IF:382M9COHEHF6AK633YYF4DJKWOYUEI,
155,,4,,,,,,0,0,,0,,,0,,386,,success,4,,,,94,,A1YBZWXXW358IF:382M9COHEHF6AK633YYF4DJKWOYUEI,
156,,1,,,,,,4066.201101,0,,664,,,0,,298,,success,1,,,,95,,A1YBZWXXW358IF:382M9COHEHF6AK633YYF4DJKWOYUEI,
157,,6,,,,,,4075.308632,528,,0,,,0,,0,,gamble,6,,,,96,,A1YBZWXXW358IF:382M9COHEHF6AK633YYF4DJKWOYUEI,
158,,2,,,,,,4001.67775,0,,753,,,0,,265,,success,2,,,,97,,A1YBZWXXW358IF:382M9COHEHF6AK633YYF4DJKWOYUEI,
159,,4,,,,,,0,0,,0,,,0,,454,,success,4,,,,98,,A1YBZWXXW358IF:382M9COHEHF6AK633YYF4DJKWOYUEI,
160,,35,,,,,,1979.371077,653,,0,,,0,,0,,gamble,5,,,,99,,A1YBZWXXW358IF:382M9COHEHF6AK633YYF4DJKWOYUEI,
161,,35,,,,,,5964.481548,558,,0,,,0,,0,,gamble,5,,,,100,,A1YBZWXXW358IF:382M9COHEHF6AK633YYF4DJKWOYUEI,
162,,4,,,,,,3836.290904,0,,830,,,0,,436,,success,4,,,,101,,A1YBZWXXW358IF:382M9COHEHF6AK633YYF4DJKWOYUEI,
163,,3,,,,,,0,0,,0,,,0,,416,,success,3,,,,102,,A1YBZWXXW358IF:382M9COHEHF6AK633YYF4DJKWOYUEI,
164,,4,,,,,,4068.693596,0,,837,,,0,,378,,success,4,,,,103,,A1YBZWXXW358IF:382M9COHEHF6AK633YYF4DJKWOYUEI,
165,,32,,,,,,4202.97699,0,,727,,,0,,392,,success,2,,,,104,,A1YBZWXXW358IF:382M9COHEHF6AK633YYF4DJKWOYUEI,
166,,25,,,,,,1929.09938,0,,623,,,0,,375,,success,5,,,,105,,A1YBZWXXW358IF:382M9COHEHF6AK633YYF4DJKWOYUEI,
167,,23,,,,,,2146.447792,0,,515,,,0,,432,,success,3,,,,106,,A1YBZWXXW358IF:382M9COHEHF6AK633YYF4DJKWOYUEI,
168,,2,,,,,,6079.549769,0,,499,,,0,,356,,success,2,,,,107,,A1YBZWXXW358IF:382M9COHEHF6AK633YYF4DJKWOYUEI,
169,,2,,,,,,0,0,,0,,,0,,506,,success,2,,,,108,,A1YBZWXXW358IF:382M9COHEHF6AK633YYF4DJKWOYUEI,
170,,6,,,,,,0,0,,0,,,0,,425,,success,6,,,,109,,A1YBZWXXW358IF:382M9COHEHF6AK633YYF4DJKWOYUEI,
171,,3,,,,,,2140.812487,0,,604,,,0,,429,,success,3,,,,110,,A1YBZWXXW358IF:382M9COHEHF6AK633YYF4DJKWOYUEI,
172,,21,,,,,,3786.814201,0,,617,,,0,,402,,success,1,,,,111,,A1YBZWXXW358IF:382M9COHEHF6AK633YYF4DJKWOYUEI,
173,,23,,,,,,5897.099719,0,,534,,,0,,353,,success,3,,,,112,,A1YBZWXXW358IF:382M9COHEHF6AK633YYF4DJKWOYUEI,
174,,36,,,,,,3887.014669,627,,0,,,0,,0,,gamble,6,,,,113,,A1YBZWXXW358IF:382M9COHEHF6AK633YYF4DJKWOYUEI,
